Date,Glucose
1991-01-03,231.75
1991-02-03,86.0
1991-03-03,148.75
1991-04-03,138.25
1991-05-03,103.25
1991-06-03,241.75
1991-07-03,136.25
1991-08-03,112.25
1991-09-03,97.0
1991-10-03,104.25
1991-11-03,221.75
1991-12-03,118.5
1991-03-13,106.75
1991-03-14,160.75
1991-03-15,113.75
1991-03-16,214.25
1991-03-17,206.0
1991-03-18,291.75
1991-03-19,175.5
1991-03-20,168.5
1991-03-21,204.25
1991-03-22,157.25
1991-03-23,133.75
1991-03-24,215.5
1991-03-25,155.5
1991-03-26,179.0
1991-03-27,209.75
1991-03-28,166.25
1991-03-29,129.0
1991-03-30,114.25
1991-03-31,91.5
1991-01-04,111.25
1991-02-04,168.75
1991-03-04,170.5
1991-04-04,230.25
1991-05-04,159.75
1991-06-04,167.25
1991-07-04,194.25
1991-08-04,131.25
1991-09-04,198.0
1991-10-04,208.25
1991-11-04,146.5
1991-12-04,135.5
1991-04-13,112.25
1991-04-14,123.75
1991-04-15,148.0
1991-04-16,186.5
1991-04-17,205.0
1991-04-18,162.25
1991-04-19,127.5
1991-04-20,137.25
1991-04-21,148.75
1991-04-22,141.75
1991-04-23,163.5
1991-04-24,203.0
1991-04-25,182.25
1991-04-26,173.25
1991-04-27,192.25
1991-04-28,171.75
1991-04-29,153.0
1991-04-30,166.5
1991-01-05,110.25
1991-02-05,174.0
1991-03-05,175.75
1991-04-05,181.75
1991-05-05,155.5
1991-06-05,139.5
1991-07-05,176.75
1991-08-05,152.75
1991-09-05,189.25
1991-10-05,190.0
1991-11-05,198.25
1991-12-05,184.75
1991-05-13,148.25
1991-05-14,114.5
1991-05-15,110.25
1991-05-16,89.0
1991-05-17,107.0
1991-05-18,106.0
1991-05-19,196.25
1991-05-20,183.25
1991-05-21,157.5
1991-05-22,182.0
1991-05-23,91.5
1991-05-24,195.5
1991-05-25,126.75
1991-05-26,154.5
1991-05-27,138.75
1991-05-28,152.0
1991-05-29,135.25
1991-05-30,129.75
1991-05-31,124.75
1991-01-06,140.0
1991-02-06,129.0
1991-03-06,158.75
1991-04-06,159.0
1991-05-06,190.0
1991-06-06,150.5
1991-07-06,119.5
1991-08-06,115.0
1991-09-06,117.75
1991-10-06,133.0
1991-11-06,129.0
1991-12-06,111.0
1991-06-13,190.75
1991-06-14,212.25
1991-06-15,169.75
1991-06-16,227.5
1991-06-17,92.5
1991-06-18,142.0
1991-06-19,165.25
1991-06-20,195.5
1991-06-21,226.75
1991-06-22,269.5
1991-06-23,197.5
1991-06-24,162.5
1991-06-25,167.25
1991-06-26,118.5
1991-06-27,81.75
1991-06-28,59.0
1991-06-29,167.25
1991-06-30,136.25
1991-01-07,118.75
1991-02-07,134.25
1991-03-07,249.5
1991-04-07,108.5
1991-05-07,113.25
1991-06-07,204.0
1991-07-07,153.75
1991-08-07,252.75
1991-09-07,97.75
1991-10-07,123.25
1991-11-07,254.25
1991-12-07,92.5
1991-07-13,193.75
1991-07-14,118.5
1991-07-15,117.75
1991-07-16,292.25
1991-07-17,139.0
1991-07-18,155.25
1991-07-19,186.0
1991-07-20,147.75
1991-07-21,163.5
1991-07-22,167.5
1991-07-23,242.25
1991-07-24,137.75
1991-07-25,174.0
1991-07-26,135.25
1991-07-27,97.0
